distance_km,turn_count,hour_of_day,day_of_week,hazard_count,avg_speed_limit,eta_minutes
2.07,59,2,3,0,50,12.18
6.25,133,4,3,0,50,26.75
18.65,400,13,6,0,50,80.0
1.9,30,11,0,0,50,11.08
1.7,15,9,2,0,50,8.83
3.49,93,9,2,0,50,16.08
5.98,326,23,0,0,50,65.38
3.68,46,1,0,0,50,15.75
4.51,88,3,0,0,50,18.25
11.43,878,0,1,0,50,121.42
2.59,167,2,2,0,50,28.37
2.96,126,3,2,0,50,17.43
2.66,49,4,2,0,50,12.2
2.28,94,4,2,0,50,25.08
0.94,67,3,3,0,50,7.33
3.81,144,7,3,0,50,22.92
4.46,64,13,3,0,50,18.0
1.28,37,1,4,0,50,8.17
2.22,55,3,4,0,50,11.37
1.01,19,7,4,0,50,5.67
1.66,42,10,4,0,50,17.75
1.46,81,11,4,0,50,15.17
2.03,46,16,4,0,50,14.17
1.23,32,1,5,0,50,7.58
1.88,60,3,5,0,50,10.53
3.09,62,4,5,0,50,9.67
1.42,26,5,0,0,50,7.0
2.17,220,15,0,0,50,25.25
2.43,105,10,1,0,50,16.83
1.21,36,1,2,0,50,6.5
2.71,59,11,2,0,50,13.08
4.91,105,13,2,0,50,26.83
1.64,33,3,3,0,50,10.92
3.97,69,1,5,0,50,11.67
1.19,37,5,5,0,50,5.75
0.82,15,10,6,0,50,8.25
1.95,99,11,0,0,50,16.8
1.39,35,3,2,0,50,7.17
3.31,142,15,2,0,50,20.53
1.81,53,23,2,0,50,10.75
0.93,32,2,2,0,50,6.17
1.33,38,7,2,0,50,7.67
1.67,46,12,3,0,50,10.0
3.28,93,4,4,0,50,18.83
3.2,71,6,4,0,50,24.63
1.92,41,10,4,0,50,9.92
2.68,79,1,6,0,50,13.92
1.77,61,0,0,0,50,14.17
2.28,118,3,0,0,50,15.75
4.11,182,5,0,0,50,29.92
4.19,111,5,0,0,50,22.0
2.31,82,9,0,0,50,11.83
3.57,63,10,0,0,50,11.83
2.34,67,15,0,0,50,17.08
1.8,76,0,1,0,50,13.42
0.93,35,1,1,0,50,6.03
1.63,48,3,1,0,50,15.25
1.69,68,4,1,0,50,11.92
1.75,44,8,1,0,50,6.75
3.12,107,9,1,0,50,22.42
2.72,90,5,2,0,50,19.92
2.39,132,8,2,0,50,21.67
1.41,44,10,2,0,50,9.33
4.79,254,9,3,0,50,42.58
3.76,118,15,3,0,50,24.5
1.78,75,1,4,0,50,14.93
5.95,285,5,4,0,50,48.75
77.41,630,7,4,0,50,181.83
9.95,640,10,4,0,50,111.08
6.05,423,6,5,0,50,62.8
9.62,397,9,5,0,50,71.58
25.53,960,11,5,0,50,163.17
8.49,313,5,6,0,50,66.33
6.78,109,6,6,0,50,27.17
4.43,273,9,6,0,50,51.67
20.28,843,11,6,0,50,156.75
44.86,255,2,0,0,50,79.55
37.14,344,4,0,0,50,98.27
1.65,52,6,0,0,50,8.27
1.77,53,8,0,0,50,7.67
1.09,52,10,0,0,50,7.42
1.7,54,18,3,0,50,10.83
1.81,35,2,4,0,50,7.58
43.73,214,7,4,0,50,83.33
34.21,197,13,4,0,50,59.58
1.68,45,17,4,0,50,9.6
2.47,103,5,5,0,50,27.33
1.33,68,6,5,0,50,12.67
1.74,81,7,5,0,50,15.43
42.82,102,7,5,0,50,56.33
34.47,230,13,5,0,50,69.17
1.66,41,17,5,0,50,9.75
1.78,67,0,6,0,50,10.25
0.82,35,7,6,0,50,5.1
42.39,127,7,6,0,50,60.5
34.21,212,13,6,0,50,66.67
2.05,56,17,6,0,50,10.93
2.42,62,5,0,0,50,13.08
1.21,77,5,0,0,50,10.83
43.68,233,7,0,0,50,70.5
34.25,180,13,0,0,50,64.17
1.66,29,14,0,0,50,7.93
45.46,192,21,0,0,50,74.0
38.74,160,5,1,0,50,61.67
1.63,65,9,1,0,50,10.17
2.35,82,10,1,0,50,21.0
4.41,193,10,1,0,50,35.33
31.97,215,12,1,0,50,72.5
2.2,57,0,2,0,50,15.92
30.5,119,7,2,0,50,45.17
3.36,104,9,2,0,50,16.58
6.82,463,4,3,0,50,74.93
2.13,104,7,3,0,50,18.87
2.53,77,8,3,0,50,13.37
0.82,31,10,3,0,50,6.42
1.72,76,15,3,0,50,12.25
1.92,75,0,4,0,50,15.75
2.03,58,4,4,0,50,13.5
1.06,60,4,4,0,50,7.75
1.5,40,5,4,0,50,7.02
2.36,77,17,5,0,50,14.42
5.25,116,0,6,0,50,23.58
40.64,522,2,6,0,50,124.58
3.91,281,4,6,0,50,35.25
32.15,141,10,6,0,50,49.83
3.44,119,11,6,0,50,23.0
2.51,155,17,6,0,50,26.58
4.63,156,4,0,0,50,36.95
4.82,174,9,0,0,50,47.25
2.31,71,15,0,0,50,12.5
2.53,124,23,0,0,50,20.0
2.45,109,4,1,0,50,23.33
1.71,52,10,1,0,50,10.75
1.85,29,2,2,0,50,7.75
3.52,68,3,2,0,50,20.68
8.12,202,3,2,0,50,48.8
1.71,44,4,2,0,50,9.5
1.52,38,9,2,0,50,8.7
1.79,78,10,2,0,50,16.68
1.54,35,20,2,0,50,8.0
0.93,64,9,3,0,50,9.83
1.22,87,9,3,0,50,12.0
2.48,86,18,3,0,50,18.08
2.3,105,0,4,0,50,19.58
1.59,62,5,4,0,50,11.92
4.71,153,6,4,0,50,29.05
4.0,114,7,4,0,50,26.08
1.81,76,9,4,0,50,11.75
1.26,40,10,4,0,50,7.68
1.46,52,17,4,0,50,10.67
9.79,218,0,5,0,50,31.92
