distance_km,turn_count,hour_of_day,day_of_week,hazard_count,avg_speed_limit,eta_minutes
32.15,0,23,2,1,44,41.15
5.57,17,2,4,3,32,26.23
11.32,16,19,0,4,42,39.22
35.22,13,7,3,4,47,63.67
0.82,5,22,3,2,47,6.56
47.88,10,3,0,3,36,88.73
17.53,8,1,5,3,64,23.98
46.15,2,17,2,5,69,52.88
18.4,6,22,0,0,72,20.17
14.82,2,7,6,0,54,17.65
31.97,11,5,2,2,43,58.53
35.24,20,2,4,5,40,75.87
12.62,14,12,2,5,74,27.04
34.39,1,7,6,0,50,41.43
3.78,18,22,2,1,71,21.69
44.29,20,14,1,2,38,86.33
28.29,8,23,4,3,67,34.13
11.36,4,16,3,0,78,11.58
5.93,20,5,6,5,57,29.29
19.55,19,14,4,2,65,40.79
1.07,3,21,4,2,79,4.95
6.02,13,5,3,0,76,19.09
13.54,16,5,4,0,70,26.49
32.13,19,6,1,2,78,41.69
47.7,16,0,4,2,61,57.77
46.49,9,7,0,1,66,56.39
4.74,15,2,6,4,79,19.06
33.16,17,5,2,4,68,47.51
10.98,17,23,5,1,75,25.3
49.76,20,11,3,4,58,67.91
11.62,10,0,4,4,44,28.34
0.86,20,1,1,0,32,23.16
4.01,7,8,5,3,43,15.62
36.31,18,18,3,1,80,50.03
20.65,3,3,5,3,52,27.89
23.62,1,21,5,5,36,39.1
36.55,3,7,1,1,64,37.37
21.38,8,14,1,0,58,31.98
42.87,3,1,5,4,30,99.25
46.36,7,5,3,3,60,51.71
20.35,1,5,3,0,54,22.5
39.31,14,9,3,5,76,57.47
28.01,15,4,1,2,43,60.25
29.17,17,1,5,2,33,64.64
24.1,16,5,0,4,35,63.48
3.89,2,21,6,1,55,6.23
44.57,7,18,4,0,69,46.12
33.04,18,16,2,2,43,67.31
16.05,8,12,1,5,71,23.1
16.15,2,0,3,4,66,20.54
4.13,6,16,2,1,52,12.12
44.02,11,9,1,3,64,61.56
30.78,20,16,0,5,65,48.87
33.34,4,8,0,0,77,33.33
13.98,19,6,5,2,43,40.99
42.72,16,15,2,0,35,91.63
41.55,1,0,2,1,70,40.68
8.5,14,17,5,3,65,23.16
4.22,4,17,0,2,67,9.76
21.77,1,9,2,0,52,27.07
12.85,3,11,6,4,56,20.55
37.6,7,5,6,1,56,43.24
36.96,10,13,6,5,77,43.87
13.71,3,12,6,0,60,15.78
40.92,14,11,2,1,44,63.6
10.06,10,8,6,0,79,18.55
32.25,12,21,6,4,51,56.51
6.21,8,5,4,2,32,19.03
22.01,10,13,4,4,37,46.6
29.04,8,1,5,3,30,67.85
40.42,6,11,3,0,72,43.02
31.35,3,23,2,4,49,44.83
16.65,9,17,1,1,56,31.06
19.27,5,19,4,2,55,30.01
0.52,9,6,3,4,68,11.81
23.52,14,21,1,4,60,41.84
48.01,5,21,0,2,62,54.18
31.15,2,7,5,2,44,48.27
7.79,1,7,3,4,79,8.16
21.01,20,18,1,5,74,42.48
20.28,4,20,5,0,78,21.02
44.33,13,7,1,5,63,57.31
28.09,3,14,1,3,72,28.08
28.17,10,14,4,5,62,39.18
45.39,14,5,5,3,58,59.45
12.74,20,8,6,4,61,38.95
14.09,2,22,2,1,47,19.82
44.7,2,4,1,1,54,54.2
35.47,2,13,3,2,64,36.0
3.58,13,12,6,4,74,16.18
44.09,18,12,3,0,52,66.1
19.8,13,17,5,5,64,39.72
44.94,15,7,2,3,61,54.99
17.14,12,23,1,3,38,44.46
26.94,12,18,4,5,31,67.2
21.72,14,5,0,2,54,37.78
23.01,10,12,2,3,46,44.29
23.78,17,1,2,1,71,34.35
47.89,1,0,1,1,31,96.47
12.31,15,21,0,4,43,33.93
13.18,11,5,4,4,77,24.29
39.0,5,9,0,4,31,98.52
29.0,12,12,5,1,34,64.85
41.61,7,3,5,2,73,43.05
6.49,18,1,2,4,57,27.7
3.91,20,10,0,3,61,25.68
48.06,20,14,5,1,57,66.48
26.33,20,8,4,4,79,46.04
22.06,18,8,2,1,35,59.21
22.81,14,18,4,5,54,44.53
24.97,10,5,3,1,52,41.65
17.35,19,22,2,4,30,55.88
9.96,7,23,3,3,65,18.6
34.69,20,22,3,3,80,42.93
15.06,12,22,1,2,72,25.97
23.93,16,11,3,5,65,39.21
35.29,8,9,2,1,37,75.5
16.12,17,22,1,1,43,41.9
14.19,18,16,4,2,36,45.48
